title                                                               , image                                                                                  , date             , broadcast_place                   , genres                                           , certificate                         , synopsis                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , directors                                                                   , scenarists                                        , actors                                                                      , average_notes_press, average_notes_spectators, nationality                   , distributor                                  , awards                   , year_production, movie_type     , language                                                                        , entrance_number_fr
Epouse-moi mon pote                                                 , https://fr.web.img6.acsta.net/c_310_420/pictures/17/07/10/17/13/380931.jpg             , 25 octobre 2017  , en salle                          , Comédie                                          , Tout public                         , "Yassine, jeune étudiant marocain vient à Paris faire ses études d’architecture avec un visa étudiant. Suite à un événement malencontreux, il rate son examen, perd son visa et se retrouve en France en situation irrégulière. Pour y remédier, il se marie avec son meilleur ami. Alors qu’il pense que tout est réglé, un inspecteur tenace se met sur leur dos pour vérifier qu’il ne s’agit pas d’un mariage blanc…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , Tarek Boudali                                                               , Tarek Boudali                                     , "Tarek Boudali,Philippe Lacheau,Charlotte Gabris"                           , "2,2"              , "2,9"                   , France                        , StudioCanal                                  , 1 nomination             ,            2017, Long métrage   , Français                                                                        , 2 471 839 entrées
Independence Day : Resurgence                                       , https://fr.web.img6.acsta.net/c_310_420/pictures/16/05/26/09/17/421833.jpg             , 20 juillet 2016  , en salle                          , "Action,Science Fiction"                         , Tout public                         , "Nous avons toujours su qu'ils reviendraient. La terre est menacée par une catastrophe d’une ampleur inimaginable. Pour la protéger, toutes les nations ont collaboré autour d’un programme de défense colossal exploitant la technologie extraterrestre récupérée. Mais rien ne peut nous préparer à la force de frappe sans précédent des aliens. Seule l'ingéniosité et le courage de quelques hommes et femmes peuvent sauver l’humanité de l'extinction."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Roland Emmerich                                                             , "James A. Woods,Nicolas Wright"                   , "Liam Hemsworth,Jeff Goldblum,Bill Pullman"                                 , "2,3"              , "2,1"                   , U.S.A.                        , Twentieth Century Fox France                 , 5 nominations            ,            2016, Long métrage   , Anglais                                                                         , 1 286 430 entrées
L'Exercice de l'Etat                                                , https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/83/94/21/19796503.jpg         , 26 octobre 2011  , en salle                          , Drame                                            , Tout public                         , "Le ministre des Transports Bertrand Saint-Jean est réveillé en pleine nuit par son directeur de cabinet. Un car a basculé dans un ravin. Il y va, il n’a pas le choix. Ainsi commence l’odyssée d’un homme d’Etat dans un monde toujours plus complexe et hostile. Vitesse, lutte de pouvoirs, chaos, crise économique… Tout s’enchaîne et se percute. Une urgence chasse l’autre. A quels sacrifices les hommes sont-ils prêts ? Jusqu’où tiendront-ils, dans un Etat qui dévore ceux qui le servent ?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , Pierre Schoeller                                                            , Pierre Schoeller                                  , "Olivier Gourmet,Michel Blanc,Zabou Breitman"                               , "4,0"              , "3,6"                   , France                        , Diaphana Distribution                        , 10 prix et 24 nominations,            2011, Long métrage   , Français                                                                        , 523 242 entrées
Les Hauts de Hurlevent                                              , https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/87/37/35/20311095.jpg         , 5 décembre 2012  , en salle                          , "Drame,Romance"                                  , Tout public                         , "Angleterre – XIXème siècle. Heathcliff, un enfant vagabond, est recueilli par M. Earnshaw qui vit seul avec ses deux enfants, Hindley et Cathy, dans une ferme isolée. Heathcliff est bientôt confronté aux violences de Hindley, jaloux de l’attention de son père pour cet étranger. Le jeune garçon devient le protégé de Cathy. A la mort de M. Earnshaw, Cathy est courtisée par le fils de riches voisins, laissant peu à peu Heathcliff à la merci de Hindley. A l’annonce du prochain mariage de Cathy, Heathcliff s’enfuit. L’attachement fraternel qu’il vouait à Cathy se transforme alors en un amour obsessionnel."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Andrea Arnold                                                               , "Andrea Arnold,Olivia Hetreed"                    , "Kaya Scodelario,James Howson,Solomon Glave"                                , "3,5"              , "3,1"                   , Grande-Bretagne               , Diaphana Distribution                        , 1 prix et 5 nominations  ,            2011, Long métrage   , Anglais                                                                         , 38 821 entrées
Supercondriaque                                                     , https://fr.web.img6.acsta.net/c_310_420/pictures/210/575/21057533_20131113175943179.jpg, 26 février 2014  , en salle                          , Comédie                                          , Tout public                         , "Romain Faubert est un homme seul qui, à bientôt 40 ans, n’a ni femme ni enfant. Le métier qu’il exerce, photographe pour dictionnaire médical en ligne, n’arrange rien à une hypocondrie maladive qui guide son style de vie depuis bien trop longtemps et fait de lui un peureux névropathe. Il a comme seul et véritable ami son médecin traitant, le Docteur Dimitri Zvenska, qui dans un premier temps a le tort de le prendre en affection, ce qu’il regrette aujourd’hui amèrement. Le malade imaginaire est difficilement gérable et Dimitri donnerait tout pour s’en débarrasser définitivement. Le docteur Zvenska pense avoir le remède qui le débarrassera en douceur de Romain Flaubert : l’aider à trouver la femme de sa vie. Il l’invite à des soirées chez lui, l’inscrit sur un site de rencontre, l’oblige à faire du sport, le coach même sur la manière de séduire et de se comporter avec les femmes. Mais découvrir la perle rare qui sera capable de le supporter et qui par amour l’amènera à surmonter enfin son hypocondrie s’avère plus ardu que prévu..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Dany Boon                                                                   , Dany Boon                                         , "Dany Boon,Alice Pol,Kad Merad"                                             , "2,4"              , "2,3"                   , France                        , Pathé Films                                  , 1 nomination             ,            2014, Long métrage   , Français                                                                        , 5 230 493 entrées
Santa & Cie                                                         , https://fr.web.img6.acsta.net/c_310_420/pictures/17/11/14/10/34/0411882.jpg            , 6 décembre 2017  , en salle                          , "Comédie,Famille,Fantastique"                    , Tout public                         , "Rien ne va plus à l'approche du réveillon : les 92 000 lutins chargés de fabriquer les cadeaux des enfants tombent tous malades en même temps ! C'est un coup dur pour Santa (Claus), plus connu sous le nom de Père Noël... il n'a pas le choix : il doit se rendre d'urgence sur Terre avec ses rennes pour chercher un remède. À son arrivée, il devra trouver des alliés pour l'aider à sauver la magie de Noël."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Alain Chabat                                                                , Alain Chabat                                      , "Alain Chabat,Golshifteh Farahani,Pio Marmaï"                               , "3,6"              , "3,5"                   , "France,Belgique"             , Gaumont Distribution                         , Aucun                    ,            2017, Long métrage   , "Chinois, Français, Russe"                                                      , 1 990 159 entrées
Transcendance                                                       , https://fr.web.img5.acsta.net/c_310_420/pictures/14/05/05/15/38/543364.jpg             , 25 juin 2014     , en salle                          , "Science Fiction,Thriller"                       , Tout public                         , "Dans un futur proche, un groupe de scientifiques tente de concevoir le premier ordinateur doté d’une conscience et capable de réfléchir de manière autonome. Ils doivent faire face aux attaques de terroristes anti-technologies qui voient dans ce projet une menace pour l’espèce humaine. Lorsque le scientifique à la tête du projet est assassiné, sa femme se sert de l’avancée de ses travaux pour « transcender » l’esprit de son mari dans le premier super ordinateur de l’histoire. Pouvant désormais contrôler tous les réseaux liés à internet, il devient ainsi quasi omnipotent. Mais comment l’arrêter s’il perdait ce qui lui reste d’humanité ?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , Wally Pfister                                                               , Jack Paglen                                       , "Johnny Depp,Rebecca Hall,Paul Bettany"                                     , "2,1"              , "2,6"                   , "U.S.A.,Grande-Bretagne"      , SND                                          , Aucun                    ,            2014, Long métrage   , Anglais                                                                         , 780 148 entrées
Les Invisibles                                                      , https://fr.web.img6.acsta.net/c_310_420/pictures/18/10/31/15/48/3233262.jpg            , 9 janvier 2019   , en salle                          , "Comédie,Drame"                                  , Tout public                         , "Suite à une décision municipale, l’Envol, centre d’accueil pour femmes SDF, va fermer. Il ne reste plus que trois mois aux travailleuses sociales pour réinsérer coûte que coûte les femmes dont elles s’occupent : falsifications, pistons, mensonges… Désormais, tout est permis !"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Louis-Julien Petit                                                          , "Louis-Julien Petit,Marion Doussot"               , "Audrey Lamy,Corinne Masiero,Noémie Lvovsky"                                , "3,6"              , "3,9"                   , France                        , Apollo Films                                 , 1 nomination             ,            2019, Long métrage   , Français                                                                        , 1 332 799 entrées
Kingsman : Le Cercle d'or                                           , https://fr.web.img6.acsta.net/c_310_420/pictures/17/09/19/15/26/1229952.jpg            , 11 octobre 2017  , en salle                          , "Action,Comédie,Espionnage"                      , Tout public                         , "KINGSMAN, l’élite du renseignement britannique en costume trois pièces, fait face à une menace sans précédent. Alors qu’une bombe s’abat et détruit leur quartier général, les agents font la découverte d’une puissante organisation alliée nommée Statesman, fondée il y a bien longtemps aux Etats-Unis.,Face à cet ultime danger, les deux services d’élite n’auront d’autre choix que de réunir leurs forces pour sauver le monde des griffes d’un impitoyable ennemi, qui ne reculera devant rien dans sa quête destructrice."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , Matthew Vaughn                                                              , "Jane Goldman,Matthew Vaughn"                     , "Taron Egerton,Colin Firth,Mark Strong"                                     , "3,1"              , "3,8"                   , "Grande-Bretagne,U.S.A."      , Twentieth Century Fox France                 , Aucun                    ,            2017, Long métrage   , Anglais                                                                         , 1 735 156 entrées
La vache                                                            , https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/22/09/18/075208.jpg             , 17 février 2016  , en salle                          , Comédie                                          , Tout public                         , "Fatah, petit paysan Algérien n’a d’yeux que pour sa vache Jacqueline, qu'il rêve d'emmener à Paris, au salon de l'Agriculture. Lorsqu'il reçoit la précieuse invitation devant tout son village ébahi, lui qui n’a jamais quitté sa campagne, prend le bateau direction Marseille pour traverser toute la France à pied, direction Porte de Versailles.,L’occasion pour Fatah et Jacqueline d’aller de rencontres en surprises et de vivre une aventure humaine faite de grands moments d’entraide et de fous rires. Un voyage inattendu et plein de tendresse dans la France d’aujourd’hui."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Mohamed Hamidi                                                              , "Mohamed Hamidi,Alain-Michel Blanc"               , "Fatsah Bouyahmed,Lambert Wilson,Jamel Debbouze"                            , "3,3"              , "3,8"                   , France                        , Pathé Films                                  , 2 prix et 1 nomination   ,            2016, Long métrage   , "ARABIC, Français"                                                              , 1 229 180 entrées
The House That Jack Built                                           , https://fr.web.img2.acsta.net/c_310_420/pictures/18/09/20/12/42/0369397.jpg            , 17 octobre 2018  , en salle                          , "Drame,Thriller"                                 , Interdit - 16 ans                   , "États-Unis, années 70.,Nous suivons le très brillant Jack à travers cinq incidents et découvrons les meurtres qui vont marquer son parcours de tueur en série. L'histoire est vécue du point de vue de Jack. Il considère chaque meurtre comme une œuvre d'art en soi. Alors que l'ultime et inévitable intervention de la police ne cesse de se rapprocher (ce qui exaspère Jack et lui met la pression) il décide - contrairement à toute logique - de prendre de plus en plus de risques. Tout au long du film, nous découvrons les descriptions de Jack sur sa situation personnelle, ses problèmes et ses pensées à travers sa conversation avec un inconnu, Verge. Un mélange grotesque de sophismes, d’apitoiement presque enfantin sur soi et d'explications détaillées sur les manœuvres dangereuses et difficiles de Jack."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Lars von Trier                                                              , Lars von Trier                                    , "Matt Dillon,Bruno Ganz,Uma Thurman"                                        , "3,1"              , "3,6"                   , Danemark                      , Les Films du Losange                         , 1 nomination             ,            2018, Long métrage   , Anglais                                                                         , 49 867 entrées
The Descendants                                                     , https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/84/55/42/19961614.jpg         , 25 janvier 2012  , en salle                          , Comédie dramatique                               , Tout public                         , "A Hawaii, la vie d’une famille bascule. Parce que sa femme vient d’être hospitalisée suite à un accident de bateau, Matt King tente maladroitement de se rapprocher de ses deux filles, Scottie, une gamine de dix ans vive et précoce, et Alexandra, une adolescente rebelle de dix-sept ans. Il se demande aussi s’il doit vendre les terres familiales, les dernières plages tropicales vierges des îles, héritées de ses ancêtres hawaiiens. Quand Alexandra lui révèle que sa mère avait une liaison, le monde de Matt vacille. Avec ses deux filles, il part à la recherche de l’amant de sa femme. Durant une semaine essentielle, au fil de rencontres tour à tour drôles, perturbantes et révélatrices, il va finalement prendre conscience que sa principale préoccupation est de reconstruire sa vie et sa famille…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , Alexander Payne                                                             , "Nat Faxon,Jim Rash"                              , "George Clooney,Shailene Woodley,Amara Miller"                              , "3,7"              , "3,6"                   , U.S.A.                        , Twentieth Century Fox France                 , 9 prix et 25 nominations ,            2011, Long métrage   , Anglais                                                                         , 738 535 entrées
Le Grand Méchant Renard et autres contes                            , https://fr.web.img5.acsta.net/c_310_420/pictures/17/05/15/12/39/312377.jpg             , 21 juin 2017     , en salle                          , "Aventure,Animation"                             , Tout public                         , "Ceux qui pensent que la campagne est un lieu calme et paisible se trompent, on y trouve des animaux particulièrement agités, un Renard qui se prend pour une poule, un Lapin qui fait la cigogne et un Canard qui veut remplacer le Père Noël. Si vous voulez prendre des vacances, passez votre chemin…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , "Benjamin Renner,Patrick Imbert"                                            , "Benjamin Renner,Jean Regnaud"                    , "Céline Ronte,Boris Rehlinger,Guillaume Bouchède"                           , "4,0"              , "4,2"                   , France                        , StudioCanal                                  , 1 prix et 4 nominations  ,            2016, Long métrage   , Français                                                                        , 679 598 entrées
Le Majordome                                                        , https://fr.web.img6.acsta.net/c_310_420/pictures/210/179/21017975_20130705175456051.jpg, 11 septembre 2013, en salle                          , "Biopic,Drame"                                   , Tout public                         , "Le jeune Cecil Gaines, en quête d'un avenir meilleur, fuit, en 1926, le Sud des États-Unis, en proie à la tyrannie ségrégationniste. Tout en devenant un homme, il acquiert les compétences inestimables qui lui permettent d’atteindre une fonction très convoitée : majordome de la Maison-Blanche. C'est là que Cecil devient, durant sept présidences, un témoin privilégié de son temps et des tractations qui ont lieu au sein du Bureau Ovale.,À la maison, sa femme, Gloria, élève leurs deux fils, et la famille jouit d'une existence confortable grâce au poste de Cecil. Pourtant, son engagement suscite des tensions dans son couple : Gloria s'éloigne de lui et les disputes avec l'un de ses fils, particulièrement anticonformiste, sont incessantes.,À travers le regard de Cecil Gaines, le film retrace l'évolution de la vie politique américaine et des relations entre communautés. De l'assassinat du président Kennedy et de Martin Luther King au mouvement des ""Black Panthers"", de la guerre du Vietnam au scandale du Watergate, Cecil vit ces événements de l'intérieur, mais aussi en père de famille…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Lee Daniels                                                                 , "Lee Daniels,Danny Strong"                        , "Forest Whitaker,Oprah Winfrey,Mariah Carey"                                , "3,2"              , "4,2"                   , U.S.A.                        , Metropolitan FilmExport                      , 6 nominations            ,            2013, Long métrage   , Anglais                                                                         , 1 932 081 entrées
